date,Portf_1d,Portf_3d,Portf_5d,Portf_10d,Portf_20d,Portf_30d,Portf_60d,TX_1d+1,TX_10d+1,TX_20d+1,TX_30d+1,TX_60d+1
2021/12/15,-0.316122234,-1.046025105,-1.622296173,-0.232018561,0.33941451,6.363840792,5.181231932,1.176336876,0.559164078,-0.313549832,4.269399707,5.349112426
2021/12/14,-0.37791308,-1.433319485,-0.524109015,2.906094123,0.402031316,6.893444469,5.749944283,-0.045441636,0.062549755,-0.94010358,2.954598643,1.728523529
2021/12/13,-0.355648536,-0.9359401,-0.418147606,2.672989869,1.383567476,7.833371066,5.492801772,-0.82807571,1.604432389,-0.542342241,3.273303221,2.069805195
2021/12/10,-0.706273369,0.209643606,0.37799244,3.890458596,3.913043478,8.636363636,4.801578601,-0.370411943,2.565287728,0.498188406,3.94051174,2.476476361
2021/12/9,0.124792013,0.648128789,-0.33126294,2.600170503,5.872003519,7.719847841,6.339739342,-0.51923399,2.744781455,1.544423548,5.151962231,2.04455644
2021/12/8,0.796645702,0.96598068,1.413203965,2.232617478,4.932343955,6.939501779,5.577514273,0.336115624,1.329486309,2.524327418,5.123840826,2.688911822
2021/12/7,-0.271795944,-1.242236025,3.448275862,0,3.336221837,5.85885486,6.188780053,0.314695139,0.972905707,1.686129308,4.569152364,2.163337721
2021/12/6,0.44099118,0.885889053,3.104117267,-1.034554107,4.363953742,7.146057348,5.935769657,0.57649918,0.770145535,1.367131871,4.381745659,3.249202205
2021/12/3,-1.407867495,3.274777705,3.499239296,-2.117163412,5.869275233,6.603984777,5.470653378,-0.073421439,-0.801749271,1.543847567,4.766698247,2.496813811
2021/12/2,1.877241088,4.117266652,2.941176471,-0.124069479,9.2760181,9.127880705,6.434552666,0.005648122,-0.812279424,2.542421961,5.055179779,1.630122833
2021/12/1,2.819345044,3.042816779,0.807994897,0.572761986,6.611198561,7.530052166,4.358353511,0.676674628,-0.867861142,3.689604685,5.305418426,1.194558756
2021/11/30,-0.603578357,-1.726342711,-3.333333333,-2.43334744,3.874746565,4.557823129,2.08102723,1.494776938,-1.002026571,2.890241048,4.126946533,0.439773831
2021/11/29,0.825907411,-1.360833511,-4.014069936,-1.255853555,5.026035771,7.658389417,2.451413428,0.109775826,-2.112874979,1.642517745,2.514495326,0.040415704
2021/11/26,-1.939471441,-3.542976939,-5.42651593,0.02173913,4.568181818,6.185091161,2.700892857,-0.196055818,-2.015398551,1.340827917,3.485799701,-0.961318379
2021/11/25,-0.23389326,-2.917442582,-2.977667494,3.188915769,4.989930633,12.11469534,5.154639175,-1.889567776,-1.168290876,2.342874004,3.336908593,-0.658761528
2021/11/24,-1.404612159,-3.329907503,-0.233347476,2.640768223,4.604092527,11.47191278,6.78928247,-0.016969286,1.179164282,3.744570959,7.747637915,1.943595363
2021/11/23,-1.303538175,-1.364764268,0.93101989,3.336221837,5.85885486,11.34453782,9.228303183,0.113256696,0.706351467,3.561595689,8.340482902,2.964472918
2021/11/22,-0.657759507,2.524395418,2.873563218,5.454942178,8.266129032,11.46217712,10.36766385,-0.992374972,0.592423811,3.583998123,7.558776952,3.90703148
2021/11/19,0.599669148,2.941176471,5.760869565,8.159181859,8.909782852,11.68503214,12.51156337,-0.084028906,2.364554637,5.61345334,7.271305708,5.146495313
2021/11/18,2.588035639,2.937420179,6.355839015,9.411764706,9.26344329,14.27221172,12.43896768,-0.050391937,3.382174089,5.915509671,6.853824973,6.357244995
2021/11/17,-0.253914515,2.47826087,2.880838062,6.004047673,6.917668406,11.5739645,13.23564737,0.540418825,4.597364568,6.227324094,9.175377468,7.048669384
2021/11/16,0.595998297,3.936661535,2.383015598,6.46542014,7.16553288,10.47218326,12.04362257,0.355912095,3.931663936,5.180886968,8.330284181,9.701722967
2021/11/15,2.130434783,2.53164557,2.509273402,6.361784016,9.027616616,9.971910112,8.398707891,0.20946558,3.836452162,4.727251213,8.210050128,8.402229163
2021/11/12,1.165603695,-0.346620451,2.267674522,4.545454545,6.162012462,5.99078341,7.151176334,0.666780646,3.42525909,5.614349776,6.944360356,5.759789247
2021/11/11,-0.763858577,-0.785511674,2.873303167,1.745356903,8.649940263,4.384756657,4.456696531,0.440755581,3.552670404,4.558455488,3.72406455,5.832328106
2021/11/10,-0.736568458,1.867496665,3.035754441,1.912811388,8.603934582,1.754385965,5.043558001,-0.484192538,2.535508863,6.491923194,3.845925221,4.161698068
2021/11/9,0.720052367,4.43438914,3.987384546,2.441189525,7.749766573,1.651618586,5.629290618,0,2.835217621,7.580585856,2.242283052,3.667178458
2021/11/8,1.889728768,3.058241511,3.758206928,2.665770609,5.696494465,3.058241511,4.206457481,0.751836547,2.973955889,6.925325862,1.520934536,2.319752871
2021/11/5,1.764705882,1.329128182,2.227272727,0.693978061,3.259871442,2.343572241,1.649717514,0.909248856,3.173851255,4.793408312,1.008695652,1.473414478
2021/11/4,-0.607150888,0.067919402,-1.096442157,-0.135562585,4.442344045,0.913242009,-0.584795322,1.124450952,2.450456865,3.358074943,1.094847775,-0.184981791
2021/11/3,0.18022077,1.068181818,-1.089857651,0.861873441,5.25443787,-1.111852346,-0.31383098,-0.099461736,1.558317968,4.376795648,1.035502959,-1.89037003
2021/11/2,0.498075617,-0.671291117,-1.486906347,0.657596372,3.76344086,-1.069757076,-2.008830022,0.263976066,1.201965777,4.232223442,-1.19088912,-1.978551356
2021/11/1,0.386363636,-1.757117438,-1.052867384,2.506381991,3.394194757,-2.170542636,-2.01863354,-0.1873646,0.857886641,4.212006358,-1.165352505,-2.821799111
2021/10/29,-1.543969568,-2.352418997,-1.499888068,1.54627279,1.382488479,-3.529927647,-1.675977654,0.790793744,2.116591928,3.402554943,-1.408532009,-2.800068294
